Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
Bengal Cuisine,2119,1914,1641,1692,1533,1368,1869,12136
Duck & Waffle,986,1093,1215,1293,1358,1490,1368,8803
VQ Aldgate,980,922,1159,1264,1305,1417,1209,8256
Polo 24 Hour Bar,928,800,880,1001,1166,1568,1453,7796
Empire Casino,926,854,923,949,1101,1273,1244,7270
Cafe Diana,841,1002,1036,1023,1033,1123,1093,7151
"Balans Soho, No.60",753,826,1008,1019,1055,1403,1075,7139
Annabel's,743,1003,1139,1308,1254,1023,649,7119
KeyNest Edgware Rd - Station Food & Wine,1144,1112,739,979,852,985,1170,6981
Colbert,835,907,918,1175,1098,1065,949,6947
Brasserie of Light,1023,973,1028,1040,974,970,914,6922
The Ivy Cafe Marylebone,923,924,999,1033,1162,1037,750,6828
The Arts Club,758,950,1052,1178,1153,1025,700,6816
George,829,1210,1116,1194,1150,954,358,6811
The Ivy Kensington Brasserie,879,1020,846,997,1053,1017,984,6796
The Hippodrome Casino London,803,803,875,938,1021,1179,1050,6669
The Ivy Chelsea Garden,832,802,945,935,966,1090,1000,6570
Darwin Brasserie,806,771,806,828,1102,1094,1085,6492
Harry's Dolce Vita,843,980,941,1062,937,872,848,6483
The Barrel Vault - JD Wetherspoon,671,782,839,938,1159,1195,875,6459
Granary Square Brasserie,661,855,863,978,1038,1072,978,6445
The Ivy City Garden,766,958,1130,1290,1067,861,361,6433
The Poker Room,1028,658,835,851,948,1102,999,6421
sketch,560,641,976,991,1207,1192,799,6366
The Willow Walk - JD Wetherspoon,636,731,944,950,1085,1118,901,6365
Oriental Club,647,1090,1433,1333,1107,527,218,6355
JJ Moon's,772,811,845,962,992,1050,901,6333
Maison François,823,1181,1162,1200,1063,868,23,6320
The Ivy Cafe Wimbledon Village,836,706,856,844,1016,1004,1033,6295
"Caravan Fitzrovia | Outdoor Dining, Takeaway & Coffee",638,945,1026,1021,1001,1041,588,6260
The Good Intent,643,754,757,805,1006,1137,1129,6231
Sakaya at Pantechnicon,653,803,926,1054,1001,1056,716,6209
My Place Soho,681,666,797,1008,986,1114,947,6199
Oneills Euston Road,572,627,748,833,1021,1286,1087,6174
The Holland Tringham,853,758,765,876,1048,985,847,6132
Novikov Restaurant & Bar,718,818,825,931,912,997,797,5998
German Gymnasium Grand Café,658,724,877,963,952,1040,731,5945
Shakespeare's Head,611,648,808,914,1026,1161,774,5942
The Ivy Asia St Paul's,777,871,910,902,859,841,766,5926
The Ivy Soho Brasserie,815,850,894,1045,1090,1075,100,5869
The Ivy,666,818,901,972,930,907,673,5867
Scott's,814,844,941,867,821,791,757,5835
The Groucho Club,694,809,1109,1184,1130,766,138,5830
Riding House Café,646,852,860,982,912,937,602,5791
The William Morris,667,717,823,815,980,1009,779,5790
Home House,597,734,829,892,966,1080,689,5787
The Kentish Drovers,748,748,832,857,1044,863,677,5769
Kettner's Studio,602,695,873,966,996,932,701,5765
The Moon Under Water,707,660,798,845,870,998,855,5733
The Orange Public House & Hotel Victoria,493,1161,869,991,831,870,494,5709
Noura Delicatessen,713,877,998,613,906,802,759,5668
Forty Five Kensington,871,748,812,775,824,774,847,5651
The Central Bar - JD Wetherspoon,687,714,753,735,883,987,880,5639
The Ivy Victoria,569,788,733,935,920,951,743,5639
Harry's Bar,733,759,754,822,835,925,802,5630
Wetherspoon Free House,567,620,764,865,950,1119,745,5630
34 Mayfair,754,657,876,915,832,861,713,5608
67 Pall Mall,681,1068,1104,1152,1060,503,34,5602
OTHERWORLD VR,688,655,641,697,1029,990,897,5597
Wetherspoons (Victoria Station),604,641,759,816,913,1042,795,5570
Number One Church Street,706,873,750,908,940,647,744,5568
Sky Garden,625,734,769,861,862,813,887,5551
The Alfred Tennyson Pub Belgravia,499,776,835,974,898,812,718,5512
Daphne's,684,828,926,860,746,721,739,5504
Mildreds King's Cross,729,775,821,792,685,890,801,5493
The Ivy Canary Wharf,668,624,727,753,834,1000,865,5471
2 Bridge Place,522,662,1001,935,764,943,627,5454
The Ivy Asia Chelsea,674,757,731,830,808,769,851,5420
The Liberty Bounds - JD Wetherspoon,496,622,574,734,954,1147,871,5398
J Sheekey,707,656,761,825,886,875,658,5368
OTHERWORLD VR | Victoria,722,719,706,752,781,892,774,5346
"Caravan King's Cross | Outdoor Dining, Takeaway & Coffee",713,732,715,786,749,853,775,5323
Smith's Bar & Grill,587,814,975,1053,735,528,619,5311
All Bar One Regent Street,558,599,630,861,839,1040,771,5298
COYA Mayfair,674,696,794,992,834,701,584,5275
Travellers Tavern,593,466,547,666,918,1031,1035,5256
