Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
Spice Lodge,760,808,1028,1304,1084,948,632,6564
Tesco Express,920,981,899,917,839,794,919,6269
Little Waitrose & Partners Roehampton,854,896,933,865,815,811,824,5998
Virgin Active,880,950,959,913,779,851,600,5932
Tesco Superstore,894,899,860,891,849,860,492,5745
Sainsbury's,875,855,833,844,824,961,545,5737
Costcutter,849,861,844,771,873,940,429,5567
Premier,812,811,777,788,862,639,540,5229
premier express,912,822,786,699,653,651,567,5090
Subway,715,606,800,754,844,738,619,5076
Pearl Dental Clinic,769,645,692,600,712,854,739,5011
Dental,769,645,692,600,712,854,739,5011
Costa Coffee,638,710,806,898,771,645,439,4907
Asda Roehampton Superstore,689,707,697,732,762,821,475,4883
Co-op Roehampton Vale,732,707,778,832,876,460,265,4650
Co-op Food - Petrol Roehampton Vale,732,707,778,832,876,460,265,4650
Korea Foods,671,667,682,656,697,764,511,4648
David Lloyd Kingston,719,775,674,665,600,633,573,4639
Roehampton Supermarket,658,773,613,600,711,688,587,4630
Better Price,627,695,543,593,539,830,763,4590
Waitrose & Partners Twickenham,629,612,611,650,728,807,485,4522
Asda Kingston on Thames Supermarket,662,630,644,658,685,719,450,4448
Ivybridge Retail Park,704,731,695,669,726,910,0,4435
Cote - Richmond,445,499,524,609,623,991,738,4429
ESSO MFG ROBIN HOOD NORTH,641,710,694,738,679,528,367,4357
Euro Wines Premier,772,509,804,687,783,430,337,4322
Sainsbury's,634,581,625,639,623,763,424,4289
Goddard Veterinary Group Stone Lion Veterinary Hospital,598,723,963,515,646,360,422,4227
Londis,663,629,646,628,611,662,367,4206
William Hill,774,748,504,495,513,549,621,4204
Co-op Food - Raynes Park,604,579,590,577,608,557,686,4201
"Shaef Gate, Bushy Park",510,451,507,547,598,743,833,4189
Currie Motors Toyota Twickenham,738,749,739,768,687,331,81,4093
"Euro Car Parts, Kingston",651,760,798,768,603,437,0,4017
Kwik Fit - Kingston Upon Thames,464,569,555,726,640,729,289,3972
Royal Wimbledon Golf Club,442,442,659,702,587,621,494,3947
Marks and Spencer,513,531,541,555,528,740,430,3838
The Little Gym Hampton & Teddington,576,612,347,661,613,544,466,3819
Wimbledon Common Golf Club,553,694,561,666,583,717,0,3774
Going Swimmingly London,343,366,478,461,438,987,693,3766
"Royal Tennis Court, Hampton Court",332,512,372,684,352,832,640,3724
Cote - Wimbledon,373,456,377,394,569,803,734,3706
Furniture Village New Malden,576,500,584,511,378,714,437,3700
Curzon Richmond,357,425,471,518,495,827,582,3675
Johnstone's Decorating Centre,711,649,652,691,582,371,0,3656
Just The Ticket,648,784,641,666,624,269,0,3632
The Albion,186,402,417,484,709,773,635,3606
SPAR - Kingston Upon Thames,494,544,467,541,542,595,405,3588
The Mute Swan,270,296,317,393,640,916,749,3581
Partica Kingston,491,504,509,390,597,683,402,3576
Snappy Snaps,480,670,548,604,434,504,334,3574
