Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
SK Carriages | Available 24/7 in London| 👑,1683,1474,1342,1265,948,1629,1628,9969
wimbledon 3d printing,1425,1299,957,953,1236,1655,1379,8904
ubitricity Charging Station,1138,1101,1142,1369,1251,1384,1231,8616
International Music Univercity-UK,992,1079,1466,1067,1233,1365,1393,8595
Putney Community Orchard,1404,1260,1164,796,836,1316,1584,8360
ShockwaveVPS,1148,1137,988,1074,891,1128,1529,7895
Aerial Cars,1004,1141,943,1083,1084,1308,1125,7688
bp,958,1082,1160,1122,1182,1022,958,7484
Premier Express,891,969,1053,1029,1110,942,1144,7138
McDonald's,802,804,953,1045,979,1157,1031,6771
Spice Lodge,760,808,1028,1304,1084,948,632,6564
Tesco Express,944,945,1025,946,1012,879,792,6543
Sainsbury's Local,863,872,851,945,818,1017,1084,6450
Sainsbury's Local,922,902,1013,1074,985,805,696,6397
Hampton Court Station,801,888,933,1011,842,922,975,6372
Tesco Express,897,939,989,929,862,880,869,6365
Co-op Food - Kingston - Kings Road,859,959,943,970,914,836,865,6346
Tesco Express,920,981,899,917,839,794,919,6269
Tesco Express,899,924,963,917,830,826,859,6218
Best Kebabs & Pizza,889,788,851,858,887,819,1088,6180
bp,878,861,928,814,944,868,862,6155
Co-op Food - Teddington,828,852,909,895,935,847,867,6133
Anytime Fitness Raynes Park,1033,1129,987,851,702,700,608,6010
Little Waitrose & Partners Roehampton,854,896,933,865,815,811,824,5998
Hawks Local,907,900,976,960,851,701,694,5989
Jiffy,829,780,850,1007,740,1022,753,5981
Co-op Food - Twickenham - Hampton Road,764,796,920,898,736,876,954,5944
Virgin Active,880,950,959,913,779,851,600,5932
Shell,761,854,884,937,821,930,695,5882
Tesco Express,836,888,833,875,816,789,722,5759
Tesco Superstore,894,899,860,891,849,860,492,5745
Sainsbury's,875,855,833,844,824,961,545,5737
Co-op Food - Twickenham - Richmond Road,701,811,772,737,835,934,889,5679
The Ivy Cafe Wimbledon Village,735,697,746,707,877,926,978,5666
Norbiton (Stop NA),817,909,986,959,836,658,494,5659
Best-One,700,980,1040,450,550,980,940,5640
Shell,791,790,782,880,885,745,713,5586
Costcutter,849,861,844,771,873,940,429,5567
Waitrose & Partners New Malden,803,812,759,822,867,949,504,5516
Tesco Travel Money,796,766,756,834,841,998,510,5501
Tesco Extra,796,766,756,834,841,998,510,5501
"Spaces - New Malden, Tesco Beverley Way",796,766,756,834,841,998,510,5501
Tesco Express,751,786,789,864,801,868,635,5494
McDonald's,722,656,906,930,857,979,410,5460
Tasty Bite Pizza Bar,775,962,782,886,759,687,586,5437
Co-op Food - Wimbledon - Inner Park Road,761,686,723,827,910,813,645,5365
The Treestone Butchers,721,561,734,833,918,803,721,5291
Esso,689,898,788,791,703,738,651,5258
Londis,590,970,897,717,847,760,454,5235
Premier,812,811,777,788,862,639,540,5229
Ashburton Supermarket,763,829,968,780,756,517,582,5195
Londis,745,866,816,877,808,542,509,5163
ALDI,820,757,742,757,761,809,488,5134
Wimbledon Common War Memorial,672,731,724,862,654,653,823,5119
Lidl,752,669,693,762,760,937,518,5091
premier express,912,822,786,699,653,651,567,5090
Subway,715,606,800,754,844,738,619,5076
Turkish Supermarket Ada Food Centre(FREE CUSTOMER CAR PARK AT REAR),666,635,717,712,645,762,922,5059
Raynes Park Station ATM,670,876,943,926,687,545,383,5030
The Cardinal (Stop S),702,875,938,979,658,572,300,5024
The Cardinal,702,875,938,979,658,572,300,5024
Co-op Food - Kingston Lower Marsh Lane,746,826,777,675,650,654,691,5019
Tesco Petrol Station,697,661,612,753,759,801,730,5013
Pearl Dental Clinic,769,645,692,600,712,854,739,5011
Dental,769,645,692,600,712,854,739,5011
Bills food and wine,633,827,860,779,770,723,413,5005
M&S Simply Food,657,609,723,873,588,694,846,4990
NS Nithiya Stores,696,761,710,793,668,581,770,4979
Evri ParcelShop,781,498,985,1059,696,425,509,4953
Screwfix,829,838,926,922,791,434,207,4947
Suroor Market,610,679,613,718,720,875,703,4918
Starbucks Coffee,581,697,663,739,735,795,703,4913
Costa Coffee,638,710,806,898,771,645,439,4907
Asda Roehampton Superstore,689,707,697,732,762,821,475,4883
Teddington Memorial Hospital,781,883,860,905,735,440,260,4864
Riverside Supermarket,700,556,410,786,716,881,789,4838
Ham Food Centre,550,721,740,673,766,839,536,4825
The Co-operative Food,702,796,664,970,790,499,324,4745
Premier B M store,802,779,729,820,671,566,367,4734
Screwfix,632,697,808,726,712,754,369,4698
Carluccio's,624,640,567,582,611,889,758,4671
Toolstation New Malden,701,818,734,785,599,685,346,4668
Co-op Food - Petrol Roehampton Vale,732,707,778,832,876,460,265,4650
Co-op Roehampton Vale,732,707,778,832,876,460,265,4650
Korea Foods,671,667,682,656,697,764,511,4648
David Lloyd Kingston,719,775,674,665,600,633,573,4639
Roehampton Supermarket,658,773,613,600,711,688,587,4630
Better Price,627,695,543,593,539,830,763,4590
Waitrose & Partners Raynes Park,652,677,666,715,712,689,451,4562
Jana Food Centre,646,547,523,645,513,861,792,4527
Waitrose & Partners Twickenham,629,612,611,650,728,807,485,4522
Better Gym Teddington,739,733,769,724,591,426,470,4452
Asda Kingston on Thames Supermarket,662,630,644,658,685,719,450,4448
Vet4Life - Teddington,727,835,425,708,840,543,370,4448
Eurowash Centre,527,679,503,537,511,896,784,4437
Ivybridge Retail Park,704,731,695,669,726,910,0,4435
Cote - Richmond,445,499,524,609,623,991,738,4429
Cote - Kingston,581,444,503,503,694,896,799,4420
Betfred,440,520,735,934,777,424,587,4417
Caffè Nero,561,592,655,597,539,829,609,4382
Nisa Local,449,408,677,714,556,656,919,4379
ESSO MFG ROBIN HOOD NORTH,641,710,694,738,679,528,367,4357
Tesco Express,610,649,700,723,647,653,370,4352
Londis,698,579,598,794,689,635,356,4349
Cannon Hill Common,587,486,661,577,552,728,755,4346
Teddington Dental,881,731,879,895,690,206,59,4341
Headmasters Wimbledon Village,594,437,647,759,670,661,572,4340
Mini-market,522,501,792,653,553,672,634,4327
Everydays,596,716,610,666,783,516,436,4323
Co-op Food - Roehampton - Danebury Avenue (Temp),544,581,636,669,593,589,711,4323
Euro Wines Premier,772,509,804,687,783,430,337,4322
Rajah's News,657,493,811,893,733,381,339,4307
Tudor News,355,489,689,708,534,829,688,4292
Sainsbury's,634,581,625,639,623,763,424,4289
Pizza Express,464,456,478,561,816,836,678,4289
Tennis court,944,595,621,525,719,236,648,4288
Roehampton Vaccination Centre,612,670,506,577,754,649,505,4273
Coombe Express,602,933,726,576,455,493,488,4273
King's Head Roehampton,584,364,598,630,660,640,787,4263
Goddard Veterinary Group Stone Lion Veterinary Hospital,598,723,963,515,646,360,422,4227
Coombe Food & Wine,617,553,630,608,730,524,563,4225
Londis,663,629,646,628,611,662,367,4206
William Hill,774,748,504,495,513,549,621,4204
Favorite Chicken & Ribs Kingston,326,448,337,496,933,692,970,4202
Co-op Food - Raynes Park,604,579,590,577,608,557,686,4201
"Shaef Gate, Bushy Park",510,451,507,547,598,743,833,4189
Kingston Maternity Unit,736,750,713,659,682,394,249,4183
Farm Fresh Burgers & Shakes,360,463,701,706,540,791,612,4173
The Kebab Guyz,634,713,687,674,652,427,359,4146
The Kebab Guyz,634,713,687,674,652,427,359,4146
Twickenham Upholstery,717,722,680,795,569,660,0,4143
Toolstation Kingston upon Thames St Georges,648,605,687,717,674,552,232,4115
National Tyres and Autocare,762,763,765,716,305,598,199,4108
Currie Motors Toyota Twickenham,738,749,739,768,687,331,81,4093
Bill's Kingston Restaurant,424,374,429,454,560,1025,819,4085
Hellix Ltd,772,872,581,780,459,360,260,4084
Hawks Road Post Office,741,611,629,681,611,466,328,4067
Household Reuse and Recycling Centre,703,659,647,633,604,499,315,4060
Costcutter,608,681,745,859,339,623,205,4060
Domino's Pizza - London - Twickenham,666,353,539,446,803,616,637,4060
Park,503,490,515,542,498,768,738,4054
The Beech House,372,344,456,501,836,881,661,4051
KFC Hampton Hill,473,526,587,582,669,625,580,4042
Weldfinn,473,477,602,575,436,821,638,4022
"Euro Car Parts, Kingston",651,760,798,768,603,437,0,4017
Ha Ru,694,572,690,636,631,789,0,4012
Fulwell Food and Wine,503,671,518,682,719,503,406,4002
Starbucks Coffee,520,562,569,580,619,581,565,3996
Wickes,649,659,729,627,429,589,305,3987
Gardenia of London,779,860,443,319,424,630,524,3979
Palace Local,915,698,635,554,420,431,321,3974
Kwik Fit - Kingston Upon Thames,464,569,555,726,640,729,289,3972
Alcombe Veterinary Surgery,704,708,817,809,658,261,0,3957
Cote - Teddington,274,518,439,420,612,842,845,3950
Old London Road Tattoos and Piercing,385,515,645,609,548,663,585,3950
Haché Riverside Social,504,377,405,455,624,864,721,3950
Royal Wimbledon Golf Club,442,442,659,702,587,621,494,3947
MERKUR Cashino (Slots) New Malden,498,565,442,406,590,631,799,3931
Machine Mart Twickenham,516,615,593,627,612,622,343,3928
Citygate SEAT Twickenham,765,464,625,578,674,403,413,3922
