Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
Tesco Express,999,1036,1034,1097,1088,941,749,6944
Co-op Food - Walton,908,952,939,987,981,914,868,6549
Oxshott Railway Station,763,992,1029,1075,874,683,591,6007
The Ivy Cobham Brasserie,690,619,673,634,897,1124,1002,5639
Golf Driving Range,602,624,759,733,711,822,758,5009
Screwfix,792,771,854,845,642,451,245,4600
Waitrose & Partners Cobham,601,630,643,632,733,851,480,4570
Berry Cobham BMW,720,776,783,764,666,383,75,4167
SMC Renault Weybridge,674,765,657,757,650,494,159,4156
Premium Catering,840,974,952,892,457,0,0,4115
ALDI,609,552,537,622,588,669,502,4079
You Fit Shepperton,654,749,628,678,540,401,328,3978
Costa Coffee,613,547,467,527,496,544,643,3837
Oxshott Tennis Coaching,483,570,599,526,287,816,540,3821
Anchor - Austin Place,453,380,679,851,726,348,369,3806
Toolstation Weybridge,767,598,607,649,489,405,207,3722
4-Print Limited,805,694,789,793,495,0,0,3576
Cote - Esher,322,315,473,458,562,739,700,3569
Space NK Cobham,449,662,535,631,571,379,274,3501
Sound Associates Ltd,588,908,672,704,612,0,0,3484
Majestic Wine Weybridge,364,418,511,474,718,633,256,3374
Wilson Electrical Distributors Ltd,654,728,725,609,491,123,0,3330
TM Motors,666,716,637,663,634,0,0,3316
Alsford Timber Cobham,634,642,632,719,554,112,0,3293
Minnow Weybridge,281,315,326,439,508,696,671,3236
Kwik Fit - Weybridge,496,534,544,635,519,496,0,3224
TrustFord Cobham Car & Van Centre,539,496,573,692,490,270,149,3209
Caffè Nero,442,407,426,463,419,588,462,3207
The Old Crown,251,282,274,464,564,652,613,3100
Wolseley Plumb & Parts,555,592,575,618,576,138,0,3054
Wilson Electrical Distributors,611,595,586,694,535,0,0,3021
Witchblair Engineering,631,722,612,593,447,0,0,3005
Claremont Coachworks,609,604,766,566,455,0,0,3000
WHSmith,509,510,499,489,432,514,0,2953
Creative Nature,572,621,568,648,537,0,0,2946
Group Rapport,567,625,637,595,520,0,0,2944
Currys,394,498,549,463,422,598,0,2924
The Queen's Head,248,276,338,441,503,661,457,2924
Webster Floors Ltd,464,483,508,481,478,485,0,2899
Academy Salons Hersham,0,476,480,734,595,589,0,2874
Everyman Walton,347,246,264,311,450,738,499,2855
RUSH,340,608,368,408,384,532,188,2828
Instate Fitness Cobham,613,487,516,515,488,208,0,2827
Costa Coffee,328,322,354,337,369,678,439,2827
Alio's Delicatessen,474,388,422,476,415,627,0,2802
Academy Salons Cobham,390,471,659,382,384,466,0,2752
The Hair Club,130,254,434,560,724,635,0,2737
Papa Johns Pizza,265,246,369,212,650,554,429,2725
"Cobham Clinic -Skin, Laser, Aesthetics",583,518,729,494,400,0,0,2724
Michael Welfare & Co Ltd,557,564,608,479,487,0,0,2695
Global Event Services,561,501,640,551,432,0,0,2685
Prince of Wales,309,253,294,332,367,480,647,2682
Fairmile Park,411,543,435,463,228,333,234,2647
Byfleet Autocare,371,573,513,707,481,0,0,2645
Globe Microsystems Ltd,475,452,497,721,494,0,0,2639
Church Pharmacy,383,458,476,521,454,346,0,2638
Hersham Dental Practice,575,617,450,271,722,0,0,2635
Squire Opticians,678,612,564,328,449,0,0,2631
Pizza Express,219,240,282,317,380,710,483,2631
The Swan,188,166,254,277,471,672,596,2624
WM AUTOS,296,317,267,310,307,634,489,2620
Shepperton Sports & Social Club,254,309,322,380,382,651,317,2615
Prezzo Italian Restaurant Shepperton,247,270,306,323,427,596,430,2599
Chic Marble Ltd,494,511,579,476,454,78,0,2592
NewWave CrossFit,521,484,411,425,329,330,67,2567
Coffee Cup Equipment,421,496,600,541,497,0,0,2555
The Royal George,151,396,329,348,713,428,157,2522
The Wheel Wizard Ltd,549,598,522,559,291,0,0,2519
LloydsPharmacy,505,429,608,488,470,0,0,2500
Cobham Pharmacy,480,507,494,558,456,0,0,2495
Dry Cleaning Centre,294,396,374,420,480,504,0,2468
Shrewsbury House Pre-Preparatory School Playing Fields,304,646,433,718,361,4,0,2466
Gilmar Motors,415,569,589,457,401,19,0,2450
Robert Dyas Cobham,576,379,320,220,378,388,185,2446
Silvermere Gymnastics,242,403,345,351,327,395,372,2435
A & N Coachworks,413,514,390,588,513,0,0,2418
La Terraza | Tapas Bar & Restaurant,245,253,242,237,493,592,318,2380
Wine Rack,212,260,416,336,484,456,148,2312
Lloyds Bank,454,540,351,476,477,0,0,2298
HSBC Bank plc,516,436,478,421,417,0,0,2268
Nationwide Building Society,426,459,301,364,418,249,0,2217
D & B Service and MOT Centre Ltd,392,451,590,350,266,157,0,2206
Royals AllStars Cheerleading,626,576,165,460,120,0,256,2203
The Good Earth,47,306,261,412,320,428,410,2184
Barclays Bank,536,429,457,0,510,159,72,2163
COOK Weybridge,340,260,284,335,375,568,0,2162
Electric Center,376,355,362,410,467,143,0,2113
THE SPECIALIST DENTAL PRACTICE,560,178,602,513,247,0,0,2100
New Look,188,213,176,222,339,526,304,1968
Quality Fruit Veg And Flowers,0,177,335,419,435,598,0,1964
Bernard Boutique,0,627,0,600,421,307,0,1955
The Greeno Centre,429,402,338,408,351,0,0,1928
West End Recreation Ground,222,261,276,292,197,212,464,1924
pie - Passion In Events,532,380,312,363,333,0,0,1920
McAteers Opticians,0,383,633,251,353,295,0,1915
Morts Wine Bar,190,153,169,285,478,428,209,1912
Riches & Company,357,438,401,405,302,0,0,1903
Raven & Ramsey,0,450,330,340,230,525,0,1875
The Bell Inn,49,160,333,147,154,370,604,1817
Centre for Sight - Eye Hospital Surrey,554,543,316,325,0,0,0,1738
Shepperton Bodyworks Ltd,390,389,397,550,0,0,0,1726
Clay Hair Salon,0,253,433,477,280,281,0,1724
Whiteley Village Hall,291,163,436,293,144,139,232,1698
BMS Performance,0,480,672,539,0,0,0,1691
Barclays Bank,306,328,294,266,361,0,0,1555
Rituals,244,228,0,0,288,536,248,1544
Caspari Express (Walton-on-Thames),0,0,285,347,215,239,406,1492
Hansa's Thai Kitchen,0,223,239,192,362,283,188,1487
Siam Food Gallery,0,0,0,353,459,328,291,1431
Domo,0,200,361,213,254,170,185,1383
Copper Coffee Roasters,129,171,370,177,162,349,0,1358
ironing studio,180,250,375,290,235,0,0,1330
The Party Shop Ltd,0,143,187,166,324,493,0,1313
Back on Track Healthcare Cobham,180,185,365,519,0,0,0,1249
